Principles,Europe,Asia,Oceania,North America,South America,Africa
Fairness,101,44,17,94,0,6
Transparency,155,59,23,129,10,0
Accountability,118,53,17,110,0,0
Safety,96,46,8,75,0,6
Security,94,50,17,68,14,0
Robustness,47,0,0,33,0,0
Explainability,72,31,8,35,0,0
Interpretability,19,3,0,12,0,0
Well-being,41,14,13,20,4,0
Human Oversight,30,3,11,0,0,0
Human Rights,34,10,6,5,14,6
Sustainability,27,0,0,36,4,0
Equity,15,0,0,23,0,0
Reliability,35,9,13,11,0,0
Privacy,95,64,23,114,10,6
Justice,32,12,5,19,0,0
Autonomy,43,6,0,39,0,0
Human Dignity,20,4,0,11,0,0
Responsibility,72,45,0,83,10,6
Solidarity,14,0,0,21,0,0
Beneficence,41,4,0,68,10,0
Non-maleficence,5,0,0,21,0,0
Non-discrimination,25,25,0,26,10,0
Contestability,5,0,8,0,0,0
Human-centric,19,2,8,6,0,0
Inclusiveness,6,27,0,16,4,6
Trustworthy,22,14,0,32,0,0
Democracy,9,0,0,10,0,0
Governance,35,34,0,17,0,0
Bias,46,10,0,23,0,0
Integrity,31,15,0,16,0,0
Controllability,38,40,0,51,10,0
Accuracy,30,4,0,5,0,0
