Principles,Fairness,Transparency,Accountability,Safety,Security,Robustness,Explainability,Interpretability,Well-being,Human Oversight,Human Rights,Sustainability,Equity,Reliability,Privacy,Justice,Autonomy,Human Dignity,Responsibility,Solidarity,Beneficence,Non-maleficence,Non-discrimination,Contestability,Human-centric,Inclusiveness,Trustworthy,Democracy,Governance,Bias,Integrity,Controllability,Accuracy
UK,39,34,39,20,25,14,38,19,10,0,10,5,0,9,37,8,5,0,11,0,19,0,6,5,10,5,8,0,0,14,15,10,18
Spain,5,5,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Switzerland,0,10,0,0,10,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,10,10,0,0,0
Sweden,9,9,9,9,9,0,9,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,9,0
Belgium,12,12,12,12,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Amsterdam,5,5,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,7,23,7,19,9,12,5,0,7,7,0,0,0,9,7,0,0,0,14,0,0,0,7,0,0,0,14,0,7,7,7,0,0
Finland,5,10,0,5,5,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,7,14,14,7,0,7,7,0,0,0,0,7,0,0,14,7,7,7,7,0,7,0,0,0,0,0,0,0,0,0,0,7,0
Netherlands,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,7,7,7,0,7,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0
Russia,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,5,0,5,0
Ireland,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Italy,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
